,title,company,salary,summary
144,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
145,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
146,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
147,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
148,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
149,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
150,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
151,Senior Business Analyst,Hays Technology,,"Comprehensive understanding of data and information flow.This role will support numerous stakeholders in facilitating workshops, modelling processes, analysing…"
152,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
153,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
154,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
155,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
156,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
157,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
158,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
159,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
160,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
161,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
162,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
163,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
164,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
165,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
166,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
167,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
168,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
169,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
170,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
171,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
172,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
173,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
174,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
175,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
176,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
177,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
178,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
179,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
180,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
181,Business Analyst,Hays Technology,,"Comprehensive understanding of data and information flow.This role will support numerous stakeholders in facilitating workshops, modelling processes, analysing…"
182,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
183,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
184,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
185,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
186,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
187,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
188,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
189,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
190,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
191,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
192,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
193,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
194,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
195,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
196,Market Research Analyst - Australia,A V Immigration And Careers Consultancy Private...,,Analysing data regarding consumer patterns and preferences.Researching potential demand and market characteristics for new goods and services and collecting…
197,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
198,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
199,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
200,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
201,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
202,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
203,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
204,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
205,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
206,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
207,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
208,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
209,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
210,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
211,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
212,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
213,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
214,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
215,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
216,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
217,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
218,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
219,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
220,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
221,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
222,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
223,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
224,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
225,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
226,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
227,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
228,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
229,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
230,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
231,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
232,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
233,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
234,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
235,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
236,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
237,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
238,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
239,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
240,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
241,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
242,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
243,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
244,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
245,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
246,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
247,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
248,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
249,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
250,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
251,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
252,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
253,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
254,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
255,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
256,Australia - 2022 Graduate Program - Business Intelligence Co...,FDM Group,,"Working as a Business Intelligence Consultant, you will be responsible for helping businesses harness their valuable data to identify new opportunities and spot…"
257,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
258,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
259,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
260,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
261,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
262,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
263,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
264,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
265,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
266,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
267,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
268,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
269,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
270,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
271,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
272,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
273,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
274,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
275,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
276,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
277,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
278,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
279,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
280,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
281,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
282,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
283,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
284,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
285,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
286,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
287,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
